,loss,test_accuracy,density,epoch
100,0.8049472250673168,0.7388535,0.036528056206677685,101
101,0.8037701198816909,0.7409435,0.0363043355307396,102
102,0.8057137653422173,0.7345741,0.036109522582591265,103
103,0.8010054703639902,0.734375,0.035820445304693735,104
104,0.809792014529638,0.73795784,0.03567025080596002,105
105,0.8071487400004321,0.7368631,0.035383058814657475,106
106,0.8015808901366066,0.7361664,0.03521212616337894,107
107,0.8019175418578756,0.73546976,0.03507198652648513,108
108,0.795693761819159,0.7378583,0.034771597529017706,109
109,0.7997874990296181,0.73278266,0.034656595046723686,110
110,0.8059354608168687,0.7388535,0.0345145701232349,111
111,0.8013654781500702,0.73895305,0.03425062999993716,112
112,0.7976660987986323,0.7424363,0.03412934322899319,113
113,0.8023662601056916,0.7356688,0.03401496917556417,114
